Area Code,Region Name,Average Low income,Average Income,Average High income,Housing Cost (Monthly Rent),Housing Affordability for Low Income (%),Housing Affordability for Avg Income (%),Housing Affordability for High Income (%)
E07000110,Maidstone,46315.79,54952.63,65231.58,734,19.01727251,16.02835024,13.50266236
E07000111,Sevenoaks,47660,56540,67093.33,611,15.38396979,12.9678104,10.92806096
E07000112,Shepway,35235.71,42057.14,50192.86,783,26.66612933,22.34103413,18.71979401
E07000113,Swale,37964.71,45058.82,53511.76,674,21.30399521,17.94987086,15.11443466
E07000114,Thanet,32400,38605.88,46011.76,673,24.92592593,20.91909315,17.55203452
E07000115,Tonbridge and Malling,45169.23,53515.38,63438.46,720,19.12806572,16.14489143,13.61949833
E07000116,Tunbridge Wells,46985.71,55671.43,65964.29,766,19.56339491,16.51116201,13.93481231
E07000117,Burnley,30900,36475,43083.33,632,24.54368932,20.79232351,17.60309614
E07000118,Chorley,37092.86,43771.43,51621.43,543,17.56672308,14.88642249,12.62266466
E07000119,Fylde,36433.33,43044.44,50866.67,644,21.21134686,17.95353825,15.19265955
E07000120,Hyndburn,30255.56,35666.67,42077.78,683,27.08923583,22.9794371,19.47821392
E07000121,Lancaster,33172.22,39261.11,46488.89,645,23.33277664,19.71416498,16.64913918
E07000122,Pendle,31307.69,37046.15,43838.46,681,26.10221323,22.05897239,18.64116577
E07000123,Preston,34129.41,40352.94,47688.24,581,20.42812929,17.27755152,14.61995662
E07000124,Ribble Valley,39337.5,46437.5,54850,761,23.21448999,19.66514132,16.64904284
E07000125,Rossendale,34362.5,40575,47887.5,813,28.39141506,24.04436229,20.37274863
E07000126,South Ribble,37300,43994.12,51905.88,603,19.39946381,16.44765255,13.94061713
E07000127,West Lancashire,35313.33,41720,49300,725,24.63658907,20.85330777,17.64705882
E07000128,Wyre,32921.43,38907.14,45992.86,678,24.71338578,20.91132887,17.68970227
E07000129,Blaby,37716.67,44591.67,52741.67,842,26.78921548,22.65894056,19.15752762
E07000130,Charnwood,36527.27,43250,51195.45,829,27.23444703,23.00115607,19.43141432
E07000131,Harborough,39510,46770,55390,590,17.91951405,15.13790892,12.78209063
E07000132,Hinckley and Bosworth,36514.29,43221.43,51178.57,582,19.12675832,16.15865093,13.64633674
E07000133,Melton,36400,43066.67,50933.33,693,22.84615385,19.30959603,16.3272262
E07000134,North West Leicestershire,36330.77,42930.77,50769.23,659,21.76667326,18.42035445,15.57636387
E07000135,Oadby and Wigston,35550,42033.33,49666.67,590,19.91561181,16.84377612,14.2550326
E07000136,Boston,33537.5,39862.5,47362.5,629,22.50614983,18.93508937,15.93665875
E07000137,East Lindsey,28261.11,33488.89,39733.33,810,34.39355354,29.02455113,24.4630893
E07000138,Lincoln,30745.45,36445.45,43163.64,977,38.13247163,32.16862462,27.16175003
E07000139,North Kesteven,36607.69,43253.85,51123.08,"1,377",45.13805706,38.20237967,32.32199625
E07000140,South Holland,33327.27,39527.27,46881.82,"1,206",43.42389881,36.61269802,30.86910875
E07000141,South Kesteven,35900,42468.75,50237.5,"1,096",36.63509749,30.96865342,26.17964668
E07000142,West Lindsey,33736.36,39863.64,47136.36,"1,085",38.59337522,32.66134252,27.62198863
E07000143,Breckland,36658.82,43341.18,51264.71,621,20.32798655,17.19380967,14.53631553
E07000144,Broadland,38100,45050,53266.67,644,20.28346457,17.15427303,14.50813426
E07000145,Great Yarmouth,30469.23,36200,42961.54,792,31.19212399,26.25414365,22.12211201
E07000146,King's Lynn and West Norfolk,35100,41542.11,49200,651,22.25641026,18.80501496,15.87804878
E07000147,North Norfolk,33192.86,39342.86,46628.57,772,27.90961671,23.54683925,19.86764767
E07000148,Norwich,34592.86,41050,48700,649,22.51331633,18.97198538,15.99178645
E07000149,South Norfolk,39100,46200,54560,568,17.43222506,14.75324675,12.49266862
E07000150,Corby,35537.5,42312.5,50362.5,725,24.48118185,20.56129985,17.274758
E07000151,Daventry,39900,47300,56050,745,22.40601504,18.90063425,15.9500446
E07000152,East Northamptonshire,37500,44340,52470,691,22.112,18.70094723,15.80331618
E07000153,Kettering,35827.27,42390.91,50172.73,822,27.53210055,23.26913954,19.66008228
E07000154,Northampton,37229.03,44200,52480.65,"1,788",57.63244436,48.54298643,40.88363997
E07000155,South Northamptonshire,42245.45,49981.82,59136.36,"1,374",39.0290552,32.98799443,27.88132377
E07000156,Wellingborough,34620,41080,48740,"1,423",49.32409012,41.56767283,35.03487895
E07000163,Craven,36150,42925,51037.5,"1,220",40.49792531,34.10599884,28.6847906
E07000164,Hambleton,38836.36,46081.82,54681.82,"1,143",35.31741904,29.76444941,25.08329094
E07000165,Harrogate,40366.67,47947.62,56961.9,"1,205",35.82163205,30.15790982,25.38538918
E07000166,Richmondshire,37033.33,43966.67,52216.67,"1,164",37.71737513,31.76951996,26.75007809
E07000167,Ryedale,35016.67,41550,49300,"1,102",37.76487027,31.8267148,26.82352941
E07000168,Scarborough,30128.57,35728.57,42364.29,"1,316",52.41536522,44.1999218,37.27667807
E07000169,Selby,39070,46380,55020,"1,244",38.208344,32.18628719,27.13195202
E07000170,Ashfield,31025,36693.75,43400,"1,240",47.96132151,40.5518651,34.28571429
E07000171,Bassetlaw,33407.14,39528.57,46757.14,710,25.50353008,21.55403041,18.22181596
E07000172,Broxtowe,35742.86,42264.29,50014.29,617,20.71462664,17.51833522,14.80376908
E07000173,Gedling,35633.33,42120,49766.67,728,24.51637273,20.74074074,17.55391711
E07000174,Mansfield,31846.15,37676.92,44592.31,889,33.49855477,28.31441636,23.92340742
E07000175,Newark and Sherwood,35653.85,42169.23,49876.92,853,28.70938202,24.27362321,20.52251823
E07000176,Rushcliffe,42686.67,50540,59853.33,936,26.31266388,22.22398101,18.76587318
E07000177,Cherwell,49889.47,59321.05,70536.84,881,21.19084448,17.82166701,14.9879127
E07000178,Oxford,53838.89,64566.67,77455.56,"1,026",22.86822778,19.0686619,15.89556644
E07000179,South Oxfordshire,51765,61305,72650,"1,026",23.78441032,20.0831906,16.94700619
E07000180,Vale of White Horse,52135.71,61642.86,72921.43,"1,146",26.37731413,22.30915308,18.85865376
E07000181,West Oxfordshire,47313.33,55920,66060,"1,049",26.60560988,22.51072961,19.05540418
E07000187,Mendip,38578.57,45628.57,53942.86,878,27.31049907,23.09079596,19.53177863
E07000188,Sedgemoor,37342.86,44214.29,52378.57,799,25.675591,21.68529677,18.30519619
E07000189,South Somerset,38437.5,45404.17,53645.83,757,23.63317073,20.00697293,16.93328261
E07000190,Taunton Deane,40050,47350,55992.86,680,20.37453184,17.23336853,14.57328667
E07000191,West Somerset,33280,39440,46820,691,24.91586538,21.02434077,17.71038018
E07000192,Cannock Chase,34200,40430.77,47800,766,26.87719298,22.73515938,19.23012552
E07000193,East Staffordshire,37546.67,44446.67,52620,629,20.10298117,16.98214962,14.34435576
