Area Code,Region Name,Average Low income,Average Income,Average High income,Housing Cost (Monthly Rent),Housing Affordability for Low Income (%),Housing Affordability for Avg Income (%),Housing Affordability for High Income (%)
W06000002,Gwynedd,30723.53,36535.29,43447.06,717,28.00459452,23.5498336,19.80341132
W06000003,Conwy,30626.67,36393.33,43213.33,520,20.37439918,17.14599901,14.43998877
W06000004,Denbighshire,31260,37133.33,44113.33,523,20.07677543,16.90125825,14.22699216
W06000005,Flintshire,34225,40695,48415,606,21.247626,17.86951714,15.02013839
W06000006,Wrexham,32872.22,39100,46511.11,963,35.15430354,29.55498721,24.84567666
W06000008,Ceredigion,30766.67,36622.22,43622.22,675,26.32719108,22.11771979,18.56851852
W06000009,Pembrokeshire,29893.75,35481.25,42131.25,1060,42.5507004,35.84992073,30.19136627
W06000010,Carmarthenshire,31892,37872,44972,508,19.11451148,16.09632446,13.55510095
W06000011,Swansea,32680.65,38880.65,46267.74,710,26.07047289,21.9132139,18.41455839
W06000012,Neath Port Talbot,29731.58,35331.58,41994.74,753,30.3919267,25.574854,21.51698046
W06000013,Bridgend,32352.63,38436.84,45657.89,906,33.60468685,28.28536373,23.81187567
W06000014,Vale of Glamorgan,35566.67,42300,50300,717,24.19118799,20.34042553,17.10536779
W06000015,Cardiff,35572.92,42466.67,50693.75,501,16.90049622,14.15698476,11.85945013
W06000016,Rhondda Cynon Taf,30161.29,35838.71,42580.65,1142,45.43572241,38.23798345,32.18363271
W06000018,Caerphilly,30970.83,36775,43662.5,815,31.57810107,26.59415364,22.39908388
W06000019,Blaenau Gwent,28733.33,34166.67,40666.67,1201,50.15777844,42.1814593,35.43934136
W06000020,Torfaen,31146.15,37000,43969.23,"1,729",66.61497488,56.07567568,47.18754456
W06000021,Monmouthshire,36000,42800,50900,534,17.8,14.97196262,12.58939096
W06000022,Newport,33650,40015,47615,628,22.39524517,18.83293765,15.82694529
W06000023,Powys,31594.74,37563.16,44694.74,1048,39.80409397,33.47961141,28.13753923
W06000024,Merthyr Tydfil,31314.29,37214.29,44257.14,715,27.39963129,23.05565953,19.38670235
